,Store,Date,Sales
325224,23,2014-09-27,4125
325225,24,2014-09-27,6852
325226,25,2014-09-27,7700
325227,26,2014-09-27,5446
325228,27,2014-09-27,7170
325229,28,2014-09-27,2627
326140,1,2014-09-26,3518
326141,2,2014-09-26,3583
326142,3,2014-09-26,4853
326143,4,2014-09-26,6948
326144,5,2014-09-26,3660
326145,6,2014-09-26,4521
326146,7,2014-09-26,6956
326147,8,2014-09-26,5186
326148,9,2014-09-26,5993
326149,10,2014-09-26,4750
326150,11,2014-09-26,6174
326151,12,2014-09-26,5599
326152,14,2014-09-26,5050
326153,15,2014-09-26,5870
326154,16,2014-09-26,6270
326155,17,2014-09-26,4686
326156,18,2014-09-26,6300
326157,19,2014-09-26,5741
326158,21,2014-09-26,4024
326159,23,2014-09-26,4070
326160,24,2014-09-26,7661
326161,25,2014-09-26,8176
326162,26,2014-09-26,5982
326163,27,2014-09-26,7082
326164,28,2014-09-26,4517
327075,1,2014-09-25,2462
327076,2,2014-09-25,3911
327077,3,2014-09-25,4575
327078,4,2014-09-25,6629
327079,5,2014-09-25,3629
327080,6,2014-09-25,3977
327081,7,2014-09-25,6444
327082,8,2014-09-25,5233
327083,9,2014-09-25,4950
327084,10,2014-09-25,4547
327085,11,2014-09-25,5538
327086,12,2014-09-25,5371
327087,14,2014-09-25,4869
327088,15,2014-09-25,4613
327089,16,2014-09-25,6105
327090,17,2014-09-25,4793
327091,18,2014-09-25,5518
327092,19,2014-09-25,5360
327093,21,2014-09-25,3586
327094,23,2014-09-25,3867
327095,24,2014-09-25,7144
327096,25,2014-09-25,8215
327097,26,2014-09-25,4747
327098,27,2014-09-25,6184
327099,28,2014-09-25,4250
328010,1,2014-09-24,3405
328011,2,2014-09-24,5084
328012,3,2014-09-24,4620
328013,4,2014-09-24,6440
328014,5,2014-09-24,4265
328015,6,2014-09-24,3951
328016,7,2014-09-24,6814
328017,8,2014-09-24,5021
328018,9,2014-09-24,5136
328019,10,2014-09-24,4679
328020,11,2014-09-24,6359
328021,12,2014-09-24,5168
328022,14,2014-09-24,4074
328023,15,2014-09-24,4369
328024,16,2014-09-24,6192
328025,17,2014-09-24,4715
328026,18,2014-09-24,5018
328027,19,2014-09-24,4895
328028,21,2014-09-24,4770
328029,23,2014-09-24,3446
328030,24,2014-09-24,7372
328031,25,2014-09-24,7664
328032,26,2014-09-24,3903
328033,27,2014-09-24,6482
328034,28,2014-09-24,4028
328945,1,2014-09-23,3407
328946,2,2014-09-23,3874
328947,3,2014-09-23,5026
328948,4,2014-09-23,7543
328949,5,2014-09-23,3338
328950,6,2014-09-23,4896
328951,7,2014-09-23,7698
328952,8,2014-09-23,5135
328953,9,2014-09-23,4841
328954,10,2014-09-23,4787
328955,11,2014-09-23,6092
328956,12,2014-09-23,5421
328957,14,2014-09-23,4676
328958,15,2014-09-23,4928
328959,16,2014-09-23,6196
328960,17,2014-09-23,5259
328961,18,2014-09-23,4772
328962,19,2014-09-23,5261
328963,21,2014-09-23,3236
328964,23,2014-09-23,3597
328965,24,2014-09-23,6738
328966,25,2014-09-23,8350
328967,26,2014-09-23,4576
328968,27,2014-09-23,7396
328969,28,2014-09-23,4741
329880,1,2014-09-22,3982
329881,2,2014-09-22,4004
329882,3,2014-09-22,4658
329883,4,2014-09-22,8184
329884,5,2014-09-22,4039
329885,6,2014-09-22,4131
329886,7,2014-09-22,6562
329887,8,2014-09-22,4737
329888,9,2014-09-22,5599
329889,10,2014-09-22,5177
329890,11,2014-09-22,6631
329891,12,2014-09-22,6217
329892,14,2014-09-22,5147
329893,15,2014-09-22,5307
329894,16,2014-09-22,7277
329895,17,2014-09-22,5041
329896,18,2014-09-22,5785
329897,19,2014-09-22,4957
329898,21,2014-09-22,3937
329899,23,2014-09-22,4337
329900,24,2014-09-22,7736
329901,25,2014-09-22,9236
329902,26,2014-09-22,5160
329903,27,2014-09-22,6250
329904,28,2014-09-22,4420
330815,1,2014-09-21,0
330816,2,2014-09-21,0
330817,3,2014-09-21,0
330818,4,2014-09-21,0
330819,5,2014-09-21,0
330820,6,2014-09-21,0
330821,7,2014-09-21,0
330822,8,2014-09-21,0
330823,9,2014-09-21,0
330824,10,2014-09-21,0
330825,11,2014-09-21,0
330826,12,2014-09-21,0
330827,14,2014-09-21,0
330828,15,2014-09-21,0
330829,16,2014-09-21,0
330830,17,2014-09-21,0
330831,18,2014-09-21,0
330832,19,2014-09-21,0
330833,21,2014-09-21,0
330834,23,2014-09-21,0
330835,24,2014-09-21,0
330836,25,2014-09-21,0
330837,26,2014-09-21,0
330838,27,2014-09-21,0
330839,28,2014-09-21,0
331750,1,2014-09-20,3911
331751,2,2014-09-20,2473
331752,3,2014-09-20,3574
331753,4,2014-09-20,10044
331754,5,2014-09-20,1946
331755,6,2014-09-20,3079
331756,7,2014-09-20,5582
331757,8,2014-09-20,2626
331758,9,2014-09-20,5770
331759,10,2014-09-20,5075
331760,11,2014-09-20,6271
331761,12,2014-09-20,6271
331762,14,2014-09-20,3280
331763,15,2014-09-20,4689
331764,16,2014-09-20,5057
331765,17,2014-09-20,2347
331766,18,2014-09-20,3978
331767,19,2014-09-20,3774
331768,21,2014-09-20,4953
331769,23,2014-09-20,3810
331770,24,2014-09-20,6565
331771,25,2014-09-20,7800
331772,26,2014-09-20,5132
331773,27,2014-09-20,6304
331774,28,2014-09-20,2561
332685,1,2014-09-19,4128
332686,2,2014-09-19,4491
332687,3,2014-09-19,7729
332688,4,2014-09-19,8995
332689,5,2014-09-19,4899
332690,6,2014-09-19,5151
332691,7,2014-09-19,9661
332692,8,2014-09-19,5685
332693,9,2014-09-19,7345
332694,10,2014-09-19,5512
332695,11,2014-09-19,7058
332696,12,2014-09-19,7426
332697,14,2014-09-19,6042
332698,15,2014-09-19,6557
332699,16,2014-09-19,7856
332700,17,2014-09-19,6718
332701,18,2014-09-19,7138
332702,19,2014-09-19,7365
332703,21,2014-09-19,6370
332704,23,2014-09-19,5930
332705,24,2014-09-19,8875
332706,25,2014-09-19,9444
332707,26,2014-09-19,7009
332708,27,2014-09-19,9059
332709,28,2014-09-19,5386
333620,1,2014-09-18,3740
333621,2,2014-09-18,4994
333622,3,2014-09-18,7563
333623,4,2014-09-18,8958
333624,5,2014-09-18,5003
333625,6,2014-09-18,5372
333626,7,2014-09-18,8645
333627,8,2014-09-18,6552
333628,9,2014-09-18,5796
333629,10,2014-09-18,5511
333630,11,2014-09-18,7472
333631,12,2014-09-18,7549
333632,14,2014-09-18,5620
333633,15,2014-09-18,6260
333634,16,2014-09-18,7921
333635,17,2014-09-18,6602
333636,18,2014-09-18,6786
333637,19,2014-09-18,7109
333638,21,2014-09-18,4974
333639,23,2014-09-18,5718
333640,24,2014-09-18,8317
333641,25,2014-09-18,10073
333642,26,2014-09-18,7382
333643,27,2014-09-18,9500
333644,28,2014-09-18,6424
334555,1,2014-09-17,4383
334556,2,2014-09-17,6469
334557,3,2014-09-17,8034
334558,4,2014-09-17,8594
334559,5,2014-09-17,5685
334560,6,2014-09-17,5298
334561,7,2014-09-17,8614
334562,8,2014-09-17,6038
334563,9,2014-09-17,6152
334564,10,2014-09-17,5714
334565,11,2014-09-17,8334
334566,12,2014-09-17,7610
334567,14,2014-09-17,5298
334568,15,2014-09-17,6488
334569,16,2014-09-17,7908
334570,17,2014-09-17,7092
334571,18,2014-09-17,7212
334572,19,2014-09-17,6694
334573,21,2014-09-17,5710
334574,23,2014-09-17,5617
334575,24,2014-09-17,9067
334576,25,2014-09-17,10277
334577,26,2014-09-17,6582
334578,27,2014-09-17,10609
334579,28,2014-09-17,5314
335490,1,2014-09-16,4381
335491,2,2014-09-16,6207
335492,3,2014-09-16,8607
335493,4,2014-09-16,9140
335494,5,2014-09-16,5438
335495,6,2014-09-16,5947
335496,7,2014-09-16,11201
335497,8,2014-09-16,7046
335498,9,2014-09-16,7089
335499,10,2014-09-16,6124
335500,11,2014-09-16,8144
335501,12,2014-09-16,8632
335502,14,2014-09-16,6211
335503,15,2014-09-16,6226
335504,16,2014-09-16,9340
335505,17,2014-09-16,9010
335506,18,2014-09-16,7525
335507,19,2014-09-16,7774
335508,21,2014-09-16,6415
335509,23,2014-09-16,6336
335510,24,2014-09-16,10465
335511,25,2014-09-16,11821
335512,26,2014-09-16,7052
335513,27,2014-09-16,11751
335514,28,2014-09-16,6678
336425,1,2014-09-15,4611
336426,2,2014-09-15,6997
336427,3,2014-09-15,10098
336428,4,2014-09-15,11450
336429,5,2014-09-15,7797
336430,6,2014-09-15,6826
336431,7,2014-09-15,11534
336432,8,2014-09-15,8513
336433,9,2014-09-15,9517
336434,10,2014-09-15,7583
336435,11,2014-09-15,9531
336436,12,2014-09-15,11150
336437,14,2014-09-15,7621
336438,15,2014-09-15,8315
336439,16,2014-09-15,10679
336440,17,2014-09-15,10743
336441,18,2014-09-15,9193
336442,19,2014-09-15,9408
336443,21,2014-09-15,9813
336444,23,2014-09-15,8124
336445,24,2014-09-15,13285
336446,25,2014-09-15,12388
336447,26,2014-09-15,10326
336448,27,2014-09-15,13715
336449,28,2014-09-15,8079
337360,1,2014-09-14,0
337361,2,2014-09-14,0
337362,3,2014-09-14,0
337363,4,2014-09-14,0
337364,5,2014-09-14,0
337365,6,2014-09-14,0
337366,7,2014-09-14,0
337367,8,2014-09-14,0
337368,9,2014-09-14,0
337369,10,2014-09-14,0
337370,11,2014-09-14,0
337371,12,2014-09-14,0
337372,14,2014-09-14,0
337373,15,2014-09-14,0
337374,16,2014-09-14,0
337375,17,2014-09-14,0
337376,18,2014-09-14,0
337377,19,2014-09-14,0
337378,21,2014-09-14,0
337379,23,2014-09-14,0
337380,24,2014-09-14,0
337381,25,2014-09-14,0
337382,26,2014-09-14,0
337383,27,2014-09-14,0
337384,28,2014-09-14,0
338295,1,2014-09-13,4270
338296,2,2014-09-13,2593
338297,3,2014-09-13,3737
338298,4,2014-09-13,9563
338299,5,2014-09-13,2107
338300,6,2014-09-13,3151
338301,7,2014-09-13,5890
338302,8,2014-09-13,3268
338303,9,2014-09-13,6620
338304,10,2014-09-13,4601
338305,11,2014-09-13,5645
338306,12,2014-09-13,5645
338307,14,2014-09-13,3576
338308,15,2014-09-13,5174
338309,16,2014-09-13,4996
338310,17,2014-09-13,2676
338311,18,2014-09-13,4498
338312,19,2014-09-13,4078
338313,21,2014-09-13,5820
338314,23,2014-09-13,3905
338315,24,2014-09-13,6764
338316,25,2014-09-13,7875
338317,26,2014-09-13,6466
338318,27,2014-09-13,7038
338319,28,2014-09-13,3180
339230,1,2014-09-12,3906
339231,2,2014-09-12,3323
339232,3,2014-09-12,5665
339233,4,2014-09-12,7603
339234,5,2014-09-12,3869
339235,6,2014-09-12,4558
339236,7,2014-09-12,7968
339237,8,2014-09-12,4859
339238,9,2014-09-12,5642
339239,10,2014-09-12,5471
339240,11,2014-09-12,7184
339241,12,2014-09-12,5994
339242,14,2014-09-12,4612
339243,15,2014-09-12,5458
339244,16,2014-09-12,5525
339245,17,2014-09-12,4802
339246,18,2014-09-12,5898
339247,19,2014-09-12,5733
339248,21,2014-09-12,4242
339249,23,2014-09-12,4850
339250,24,2014-09-12,7844
339251,25,2014-09-12,8875
339252,26,2014-09-12,6023
339253,27,2014-09-12,6212
339254,28,2014-09-12,7361
340165,1,2014-09-11,3392
340166,2,2014-09-11,4123
340167,3,2014-09-11,5389
340168,4,2014-09-11,7924
340169,5,2014-09-11,4557
340170,6,2014-09-11,4365
340171,7,2014-09-11,7518
340172,8,2014-09-11,5369
340173,9,2014-09-11,5152
340174,10,2014-09-11,4512
340175,11,2014-09-11,6803
340176,12,2014-09-11,5703
340177,14,2014-09-11,4722
340178,15,2014-09-11,5349
340179,16,2014-09-11,6444
340180,17,2014-09-11,5058
340181,18,2014-09-11,6061
340182,19,2014-09-11,5935
340183,21,2014-09-11,3490
340184,23,2014-09-11,4297
340185,24,2014-09-11,7091
340186,25,2014-09-11,8117
340187,26,2014-09-11,5059
340188,27,2014-09-11,6751
340189,28,2014-09-11,7750
341100,1,2014-09-10,3275
341101,2,2014-09-10,4865
341102,3,2014-09-10,5164
341103,4,2014-09-10,8530
341104,5,2014-09-10,4305
341105,6,2014-09-10,3911
341106,7,2014-09-10,7551
341107,8,2014-09-10,4117
341108,9,2014-09-10,5084
341109,10,2014-09-10,5488
341110,11,2014-09-10,6875
341111,12,2014-09-10,6296
341112,14,2014-09-10,4732
341113,15,2014-09-10,4602
341114,16,2014-09-10,6858
341115,17,2014-09-10,5296
341116,18,2014-09-10,5960
341117,19,2014-09-10,5860
341118,21,2014-09-10,3948
341119,23,2014-09-10,4042
341120,24,2014-09-10,7507
341121,25,2014-09-10,8013
341122,26,2014-09-10,4578
341123,27,2014-09-10,6986
341124,28,2014-09-10,7584
342035,1,2014-09-09,3377
342036,2,2014-09-09,4963
342037,3,2014-09-09,5978
342038,4,2014-09-09,8070
342039,5,2014-09-09,3624
342040,6,2014-09-09,4277
342041,7,2014-09-09,8109
342042,8,2014-09-09,4040
342043,9,2014-09-09,5228
342044,10,2014-09-09,4785
342045,11,2014-09-09,6714
342046,12,2014-09-09,5306
342047,14,2014-09-09,4449
342048,15,2014-09-09,5178
342049,16,2014-09-09,7095
342050,17,2014-09-09,5623
342051,18,2014-09-09,5616
342052,19,2014-09-09,5712
342053,21,2014-09-09,3170
342054,23,2014-09-09,2999
342055,24,2014-09-09,7117
342056,25,2014-09-09,8928
342057,26,2014-09-09,4417
342058,27,2014-09-09,7389
342059,28,2014-09-09,8668
342970,1,2014-09-08,3676
342971,2,2014-09-08,4189
342972,3,2014-09-08,6061
342973,4,2014-09-08,8995
342974,5,2014-09-08,3511
342975,6,2014-09-08,4439
342976,7,2014-09-08,9155
342977,8,2014-09-08,4844
342978,9,2014-09-08,6068
342979,10,2014-09-08,5329
342980,11,2014-09-08,6679
342981,12,2014-09-08,5359
342982,14,2014-09-08,5333
342983,15,2014-09-08,5044
342984,16,2014-09-08,6422
342985,17,2014-09-08,5272
342986,18,2014-09-08,6116
342987,19,2014-09-08,5438
342988,21,2014-09-08,3692
342989,23,2014-09-08,3804
342990,24,2014-09-08,7460
342991,25,2014-09-08,9236
342992,26,2014-09-08,5477
342993,27,2014-09-08,6667
342994,28,2014-09-08,10233
343905,1,2014-09-07,0
343906,2,2014-09-07,0
343907,3,2014-09-07,0
343908,4,2014-09-07,0
343909,5,2014-09-07,0
343910,6,2014-09-07,0
343911,7,2014-09-07,0
343912,8,2014-09-07,0
343913,9,2014-09-07,0
343914,10,2014-09-07,0
343915,11,2014-09-07,0
343916,12,2014-09-07,0
343917,14,2014-09-07,0
343918,15,2014-09-07,0
343919,16,2014-09-07,0
343920,17,2014-09-07,0
343921,18,2014-09-07,0
343922,19,2014-09-07,0
343923,21,2014-09-07,0
343924,23,2014-09-07,0
343925,24,2014-09-07,0
343926,25,2014-09-07,0
343927,26,2014-09-07,0
343928,27,2014-09-07,0
343929,28,2014-09-07,0
344840,1,2014-09-06,3959
344841,2,2014-09-06,2551
344842,3,2014-09-06,3562
344843,4,2014-09-06,9382
344844,5,2014-09-06,2187
344845,6,2014-09-06,2962
344846,7,2014-09-06,6500
344847,8,2014-09-06,2823
344848,9,2014-09-06,5762
344849,10,2014-09-06,4228
344850,11,2014-09-06,6050
344851,12,2014-09-06,5191
344852,14,2014-09-06,3551
344853,15,2014-09-06,5130
344854,16,2014-09-06,4946
344855,17,2014-09-06,2479
344856,18,2014-09-06,4225
344857,19,2014-09-06,4178
344858,21,2014-09-06,4659
344859,23,2014-09-06,4008
344860,24,2014-09-06,6314
344861,25,2014-09-06,8276
344862,26,2014-09-06,4436
344863,27,2014-09-06,6442
344864,28,2014-09-06,5515
345775,1,2014-09-05,4706
345776,2,2014-09-05,4823
345777,3,2014-09-05,6564
345778,4,2014-09-05,10528
345779,5,2014-09-05,4686
345780,6,2014-09-05,5642
345781,7,2014-09-05,10543
345782,8,2014-09-05,5838
345783,9,2014-09-05,7752
345784,10,2014-09-05,5391
345785,11,2014-09-05,7336
345786,12,2014-09-05,7921
345787,14,2014-09-05,5614
345788,15,2014-09-05,7360
345789,16,2014-09-05,7390
345790,17,2014-09-05,7112
345791,18,2014-09-05,7236
345792,19,2014-09-05,7405
345793,21,2014-09-05,5804
345794,23,2014-09-05,6356
345795,24,2014-09-05,10523
345796,25,2014-09-05,10167
345797,26,2014-09-05,6679
345798,27,2014-09-05,9604
345799,28,2014-09-05,16611
346710,1,2014-09-04,4346
346711,2,2014-09-04,5401
346712,3,2014-09-04,7659
346713,4,2014-09-04,10522
346714,5,2014-09-04,5380
346715,6,2014-09-04,5592
346716,7,2014-09-04,9839
346717,8,2014-09-04,6689
346718,9,2014-09-04,6734
346719,10,2014-09-04,5840
346720,11,2014-09-04,8490
346721,12,2014-09-04,8373
346722,14,2014-09-04,6020
346723,15,2014-09-04,6598
346724,16,2014-09-04,7551
346725,17,2014-09-04,6997
346726,18,2014-09-04,6615
346727,19,2014-09-04,8051
346728,21,2014-09-04,5278
346729,23,2014-09-04,5568
346730,24,2014-09-04,9049
346731,25,2014-09-04,11130
346732,26,2014-09-04,7731
346733,27,2014-09-04,9419
346734,28,2014-09-04,0
347645,1,2014-09-03,4978
347646,2,2014-09-03,6615
347647,3,2014-09-03,8659
347648,4,2014-09-03,10729
347649,5,2014-09-03,5884
347650,6,2014-09-03,5741
347651,7,2014-09-03,10774
347652,8,2014-09-03,6428
347653,9,2014-09-03,7865
347654,10,2014-09-03,5397
347655,11,2014-09-03,9351
347656,12,2014-09-03,8661
347657,14,2014-09-03,6229
347658,15,2014-09-03,6935
347659,16,2014-09-03,7492
347660,17,2014-09-03,7947
347661,18,2014-09-03,7691
347662,19,2014-09-03,7935
347663,21,2014-09-03,5545
347664,23,2014-09-03,5051
347665,24,2014-09-03,11021
347666,25,2014-09-03,11744
347667,26,2014-09-03,7275
347668,27,2014-09-03,11566
347669,28,2014-09-03,0
348580,1,2014-09-02,5008
348581,2,2014-09-02,6422
348582,3,2014-09-02,8989
348583,4,2014-09-02,11932
348584,5,2014-09-02,6226
348585,6,2014-09-02,5934
348586,7,2014-09-02,12542
348587,8,2014-09-02,6897
348588,9,2014-09-02,8395
348589,10,2014-09-02,5937
348590,11,2014-09-02,9546
348591,12,2014-09-02,10399
348592,14,2014-09-02,6674
348593,15,2014-09-02,7847
348594,16,2014-09-02,7990
348595,17,2014-09-02,7894
348596,18,2014-09-02,7161
348597,19,2014-09-02,8119
348598,21,2014-09-02,6383
348599,23,2014-09-02,6777
348600,24,2014-09-02,11288
348601,25,2014-09-02,13771
348602,26,2014-09-02,8377
348603,27,2014-09-02,12916
348604,28,2014-09-02,0
349515,1,2014-09-01,5464
349516,2,2014-09-01,8173
349517,3,2014-09-01,10679
349518,4,2014-09-01,15595
349519,5,2014-09-01,7786
349520,6,2014-09-01,7586
349521,7,2014-09-01,15349
349522,8,2014-09-01,9367
349523,9,2014-09-01,10494
349524,10,2014-09-01,7033
349525,11,2014-09-01,10379
349526,12,2014-09-01,11086
349527,14,2014-09-01,7675
349528,15,2014-09-01,10058
349529,16,2014-09-01,9676
349530,17,2014-09-01,8261
349531,18,2014-09-01,10024
349532,19,2014-09-01,7913
349533,21,2014-09-01,7931
349534,23,2014-09-01,8325
349535,24,2014-09-01,15968
349536,25,2014-09-01,15819
349537,26,2014-09-01,10935
349538,27,2014-09-01,15205
349539,28,2014-09-01,0
350450,1,2014-08-31,0
350451,2,2014-08-31,0
350452,3,2014-08-31,0
350453,4,2014-08-31,0
350454,5,2014-08-31,0
350455,6,2014-08-31,0
350456,7,2014-08-31,0
350457,8,2014-08-31,0
350458,9,2014-08-31,0
350459,10,2014-08-31,0
350460,11,2014-08-31,0
350461,12,2014-08-31,0
350462,14,2014-08-31,0
350463,15,2014-08-31,0
350464,16,2014-08-31,0
350465,17,2014-08-31,0
350466,18,2014-08-31,0
350467,19,2014-08-31,0
350468,21,2014-08-31,0
350469,23,2014-08-31,0
350470,24,2014-08-31,0
350471,25,2014-08-31,0
350472,26,2014-08-31,0
350473,27,2014-08-31,0
350474,28,2014-08-31,0
351385,1,2014-08-30,4094
351386,2,2014-08-30,2976
351387,3,2014-08-30,4322
351388,4,2014-08-30,11930
351389,5,2014-08-30,2315
351390,6,2014-08-30,3282
351391,7,2014-08-30,7271
351392,8,2014-08-30,3802
351393,9,2014-08-30,6326
351394,10,2014-08-30,4372
351395,11,2014-08-30,6367
351396,12,2014-08-30,6465
351397,14,2014-08-30,3455
351398,15,2014-08-30,6278
351399,16,2014-08-30,4831
351400,17,2014-08-30,2898
351401,18,2014-08-30,5549
351402,19,2014-08-30,5229
351403,21,2014-08-30,4996
351404,23,2014-08-30,4406
351405,24,2014-08-30,7345
351406,25,2014-08-30,10446
351407,26,2014-08-30,5995
351408,27,2014-08-30,8326
351409,28,2014-08-30,0
352320,1,2014-08-29,3869
352321,2,2014-08-29,4318
352322,3,2014-08-29,6889
352323,4,2014-08-29,11938
352324,5,2014-08-29,4860
352325,6,2014-08-29,5142
352326,7,2014-08-29,10951
352327,8,2014-08-29,5373
352328,9,2014-08-29,6559
352329,10,2014-08-29,5266
352330,11,2014-08-29,8993
352331,12,2014-08-29,7049
352332,14,2014-08-29,5042
352333,15,2014-08-29,7341
352334,16,2014-08-29,6421
352335,17,2014-08-29,6098
352336,18,2014-08-29,8501
352337,19,2014-08-29,8194
352338,21,2014-08-29,3652
352339,23,2014-08-29,4677
352340,24,2014-08-29,10669
352341,25,2014-08-29,12126
352342,26,2014-08-29,6823
352343,27,2014-08-29,9331
352344,28,2014-08-29,0
353255,1,2014-08-28,3920
353256,2,2014-08-28,3717
353257,3,2014-08-28,5452
353258,4,2014-08-28,9205
353259,5,2014-08-28,4070
353260,6,2014-08-28,3962
353261,7,2014-08-28,8414
353262,8,2014-08-28,5374
353263,9,2014-08-28,5369
353264,10,2014-08-28,4043
353265,11,2014-08-28,7999
353266,12,2014-08-28,6146
353267,14,2014-08-28,4359
353268,15,2014-08-28,6176
353269,16,2014-08-28,6215
353270,17,2014-08-28,5058
353271,18,2014-08-28,5189
353272,19,2014-08-28,7027
353273,21,2014-08-28,3770
353274,23,2014-08-28,4142
353275,24,2014-08-28,7404
353276,25,2014-08-28,9349
353277,26,2014-08-28,5373
353278,27,2014-08-28,7269
353279,28,2014-08-28,0
354190,1,2014-08-27,3148
354191,2,2014-08-27,5127
354192,3,2014-08-27,5055
354193,4,2014-08-27,8718
354194,5,2014-08-27,4306
354195,6,2014-08-27,4467
354196,7,2014-08-27,8038
354197,8,2014-08-27,4563
354198,9,2014-08-27,4445
354199,10,2014-08-27,3755
354200,11,2014-08-27,8529
354201,12,2014-08-27,5548
354202,14,2014-08-27,4815
354203,15,2014-08-27,5945
354204,16,2014-08-27,5482
354205,17,2014-08-27,5655
354206,18,2014-08-27,5418
354207,19,2014-08-27,5215
354208,21,2014-08-27,3826
354209,23,2014-08-27,3698
354210,24,2014-08-27,7167
354211,25,2014-08-27,8877
354212,26,2014-08-27,4854
354213,27,2014-08-27,6691
354214,28,2014-08-27,0
355125,1,2014-08-26,3396
355126,2,2014-08-26,3647
355127,3,2014-08-26,5666
355128,4,2014-08-26,8985
355129,5,2014-08-26,3623
355130,6,2014-08-26,3768
355131,7,2014-08-26,10029
355132,8,2014-08-26,4027
355133,9,2014-08-26,5430
355134,10,2014-08-26,4496
355135,11,2014-08-26,9084
355136,12,2014-08-26,6061
355137,14,2014-08-26,4167
355138,15,2014-08-26,5580
355139,16,2014-08-26,5289
355140,17,2014-08-26,4690
355141,18,2014-08-26,5287
355142,19,2014-08-26,5279
355143,21,2014-08-26,2866
355144,23,2014-08-26,3694
355145,24,2014-08-26,6255
355146,25,2014-08-26,7645
355147,26,2014-08-26,4331
355148,27,2014-08-26,6628
355149,28,2014-08-26,0
356060,1,2014-08-25,3414
356061,2,2014-08-25,3927
356062,3,2014-08-25,5393
356063,4,2014-08-25,10919
356064,5,2014-08-25,3693
356065,6,2014-08-25,4330
356066,7,2014-08-25,11405
356067,8,2014-08-25,4894
356068,9,2014-08-25,5977
356069,10,2014-08-25,4346
356070,11,2014-08-25,9673
356071,12,2014-08-25,7210
356072,14,2014-08-25,5077
356073,15,2014-08-25,7644
356074,16,2014-08-25,6098
